time_stamp	px_state	py_state	v_state	yaw_state	yaw_rate_state	sensor type	NIS
1477010454250000	-0.742892	11.7135	5.01345	4.34855	0.248963	1	2.62145
1477010454300000	-0.948644	11.4718	5.10283	4.3018	0.163615	0	3.65339
1477010454350000	-1.06324	11.2458	5.06667	4.28829	0.110899	1	2.32434
1477010454400000	-1.24276	11.0212	5.11451	4.25518	0.0573815	0	1.53428
1477010454450000	-1.31232	10.7721	5.14783	4.30092	0.14738	1	2.016
1477010454500000	-1.44026	10.5193	5.1882	4.2988	0.134489	0	0.722816
1477010454550000	-1.5236	10.2547	5.23633	4.33221	0.192564	1	1.69839
1477010454600000	-1.61894	10.0452	5.19541	4.33684	0.186356	0	1.92851
1477010454650000	-1.70891	9.81482	5.16935	4.34288	0.175833	1	0.493985
1477010454700000	-1.77964	9.59511	5.12669	4.35867	0.185839	0	0.871537
1477010454750000	-1.88877	9.34205	5.18407	4.36911	0.204223	1	2.48127
1477010454800000	-1.96681	9.04925	5.23763	4.39014	0.218154	0	4.10957
1477010454850000	-2.05495	8.82661	5.18644	4.38483	0.179321	1	1.83154
1477010454900000	-2.14969	8.57464	5.20391	4.38869	0.172003	0	0.10737
1477010454950000	-2.2813	8.31974	5.25091	4.37368	0.137892	1	2.65876
1477010455000000	-2.32283	8.08692	5.19879	4.40028	0.165645	0	0.928607
1477010455050000	-2.3854	7.87418	5.13467	4.40838	0.159662	1	5.52948
1477010455100000	-2.50008	7.62274	5.17204	4.3986	0.134979	0	0.605161
1477010455150000	-2.6719	7.387	5.19199	4.34211	0.0166626	1	5.06359
1477010455200000	-2.77629	7.13217	5.21686	4.33958	0.0119427	0	0.279209
1477010455250000	-2.83118	6.89685	5.19482	4.36976	0.0732355	1	1.93935
1477010455300000	-2.87035	6.69001	5.1082	4.39022	0.0950417	0	2.66115
1477010455350000	-2.93549	6.46817	5.04032	4.38266	0.0474509	1	3.91506
1477010455400000	-2.98941	6.23259	5.01474	4.39699	0.0630862	0	0.444661
1477010455450000	-3.10684	5.98425	5.06871	4.38826	0.056798	1	3.31845
1477010455500000	-3.19003	5.71015	5.11632	4.39378	0.0600786	0	1.70265
1477010455550000	-3.30063	5.46271	5.12658	4.36784	-0.00737599	1	1.93516
1477010455600000	-3.3991	5.20179	5.16347	4.36461	-0.0110269	0	0.561395
1477010455650000	-3.46247	4.95555	5.15936	4.38579	0.0369818	1	0.422331
1477010455700000	-3.57845	4.67709	5.23538	4.37782	0.0254723	0	2.07548
1477010455750000	-3.68747	4.42463	5.24761	4.35383	-0.0380483	1	1.928
1477010455800000	-3.82321	4.15347	5.32208	4.33798	-0.0536541	0	2.40039
1477010455850000	-3.90003	3.91248	5.30388	4.35738	0.00283102	1	1.39785
1477010455900000	-3.97207	3.6802	5.26252	4.36266	0.00744221	0	0.733215
1477010455950000	-4.07237	3.47608	5.20132	4.34118	-0.0458739	1	3.98821
1477010456000000	-4.16447	3.23164	5.20268	4.3401	-0.044415	0	0.0169217
1477010456050000	-4.2789	2.9778	5.23533	4.32415	-0.0777458	1	0.579739
1477010456100000	-4.37007	2.70353	5.27748	4.32829	-0.0662382	0	1.37255
1477010456150000	-4.45523	2.4535	5.27467	4.33848	-0.0336227	1	0.290515
1477010456200000	-4.5602	2.18812	5.31383	4.33773	-0.0301166	0	0.637424
1477010456250000	-4.66921	1.95993	5.29557	4.30603	-0.116849	1	3.72117
1477010456300000	-4.78645	1.68584	5.35624	4.30283	-0.109386	0	1.57122
1477010456350000	-4.909	1.43839	5.37586	4.28488	-0.141058	1	0.308898
1477010456400000	-4.96983	1.20495	5.31549	4.29059	-0.130497	0	5.07739
1477010456450000	-5.06396	0.988189	5.25702	4.29119	-0.107782	1	1.20861
1477010456500000	-5.12568	0.755962	5.20798	4.29752	-0.0973247	0	4.0515
1477010456550000	-5.21883	0.460555	5.29678	4.30559	-0.0856335	1	5.33401
1477010456600000	-5.29402	0.219867	5.27039	4.30968	-0.0768966	0	1.59188
1477010456650000	-5.40172	-0.0223084	5.25987	4.31999	-0.0261754	1	30.3877
1477010456700000	-5.47187	-0.26078	5.23132	4.32683	-0.0174139	0	1.66013
1477010456750000	-5.59388	-0.438839	5.1488	4.29627	-0.0720677	1	3.87247
1477010456800000	-5.73176	-0.620346	5.08558	4.2669	-0.110925	0	2.61141
